,Survey result
Victoria Memorial,90
Birla Planetarium,60
St Paul's Cathedral,60
ISCON Kolkata,60
Rabindra Sarovar,60
Princep Ghat,60
St. Johns Church,30
Biswa Bangla Gate,60
Tagore House,60
Marble Palace,30
Maidan,30
Eden Garden,60
Salt Lake Stadium,30
National Library,60
Alipore zoo,120
Gariahat Market,30
Birla Industrial and Tech Museum,90
Quest Mall,60
New Market,60
Dakshineswar Kali Temple,60
Park Street,60
College Street,60
Science City,120
Mother House,60
Kalighat Temple,30
Netaji Bhavan,30
Nicco Park,120
Eco Park,120
Mother Teresa Wax Museum,90
Indian Museum,90